Hour,P_el,P_fc,m_dot_el,m_dot_fc,eta_el,i_model,V,eta_F,P_comp,m_H2,P_tank_bar
3341,301.073,128.447,5.96755544074642,7.00690069006901,0.696059051154333,0.954166336957655,1.79865290120977,0.998745653637182,15.3233606407705,260.934571428474,525.493665566226
3342,649.497,136.442,11.4977593131981,7.44303521261217,0.618068641629983,1.83729437344901,2.02683704860208,0.999348577401868,29.4682651684497,259.895226179152,523.400537998401
3343,1032.529,138.77,16.6566650003188,7.57002973024575,0.561042628637687,2.66112914608845,2.23330127976687,0.999550245400136,43.002329257223,263.949950279738,531.566308516321
3344,1363.179,141.752,20.6012377480647,7.73270054278155,0.524495088900652,3.29104494410581,2.38912652824541,0.999636329769234,54.0356568617462,273.036585549811,549.865797348306
3345,1545.942,144.449,22.6227497357204,7.87982434607097,0.507645693132675,3.61386376843438,2.4685048453668,0.999668815663518,60.6221028911771,285.905122755094,575.781622719622
3346,1618.981,143.701,23.394891656035,7.83902026566293,0.501506163466647,3.73716847721319,2.49875204362748,0.99967974281021,64.1611479255308,300.648048144744,605.472260728085
3347,1621.797,142.557,14.0027059110047,7.77661402503887,0.501395517015913,3.7394197551237,2.49930394273213,0.999679935617646,65.6969015044034,316.203919535116,636.800082998827
3348,1587.19,139.725,7.77661402503884,7.62212584894853,0.504374518704082,3.67916889329729,2.48452920540438,0.999674694174419,65.2130725924294,322.430011421082,649.338750563639
3349,1469.685,137.235,7.62212584894854,7.48629408395385,0.514791614465424,3.47423662610799,2.43420664459347,0.999655505596455,61.5928549530127,322.584499597172,649.649872840369
3350,1266.264,133.672,7.48629408395385,7.29192919291929,0.534775381494601,3.10461380904403,2.3431477943768,0.999614491480132,55.0482616576265,322.720331362167,649.923423147239
3351,962.643,133.024,7.29192919291927,7.25658020347489,0.570568382755405,2.51106040929209,2.19595681223054,0.999523366674152,44.5319947507237,322.914696253201,650.314852763054
3352,605.701,132.447,7.25658020347487,7.22510432861468,0.626634277714345,1.72774548411435,1.9990490304407,0.999307273504524,30.6353188446314,322.950045242646,650.386041758577
3353,268.478,131.1,5.36539789635962,7.15162425333442,0.706067142507693,0.858006733786096,1.77290846051028,0.998605074963684,15.2036283155567,322.981521117506,650.44943072527
3354,72.904,126.925,1.60158192418714,6.92387420560238,0.780681468440538,0.256956304926247,1.59822193047172,0.995342184444047,4.52691191593315,321.195294760531,646.852166358501
3355,3.018,121.404,0.0654698821255276,6.62269863349971,0.769881314227292,0.0116518563336163,1.46097819659254,0.897282026140958,0.183652509135182,315.873002479116,636.133652269453
3356,0,116.225,0,6.3401794724927,0,0,0,0,0,309.315773727741,622.928111303179
3357,0,106.134,0,5.78970624335161,0,0,0,0,0,302.975594255249,610.159683826864
3358,0,98.674,0,5.38275645746393,0,0,0,0,0,297.185888011897,598.49984918052
3359,0,94.336,0,5.14611461146115,0,0,0,0,0,291.803131554433,587.659566859179
3360,0,92.032,0,5.02042931565884,0,0,0,0,0,286.657016942972,577.295855313421
3361,0,91.75,0,5.00504595914137,0,0,0,0,0,281.636587627313,567.185260196189
3362,0,93.642,0,5.10825628017347,0,0,0,0,0,276.631541668172,557.105645475157
3363,7.04,98.577,0.160118100233213,5.3774650192292,0.806018389746897,0.0267663976674768,1.48568462140502,0.955285164288656,0.41889017340061,271.523285387998,546.818176464728
3364,96.013,113.478,2.09091782736381,6.19032812372146,0.76927355440871,0.335099220689234,1.62369263466313,0.996428356139343,5.42066027034165,266.305938469003,536.311010848518
3365,339.733,126.707,6.63501811853013,6.91198210730164,0.685388345205686,1.06075463237271,1.8268863749592,0.998871694699453,17.076282188081,262.206528172645,528.055247223561
3366,715.805,134.99,12.4458814552866,7.36382729182009,0.606650526832402,1.98870167506182,2.06508778232474,0.999398172642335,32.0155519454936,261.929564183873,527.497472066008
3367,1092.884,138.733,17.4050695405103,7.5680113465892,0.553696486102713,2.78064319065612,2.26297526516823,0.999569576176365,45.1782941747412,267.01161834734,537.732172881412
3368,1404.725,140.666,21.0683143919987,7.6734582549164,0.520498020811154,3.3656332393951,2.40749279290316,0.999644389335036,55.6191617280649,276.848676541261,557.542931342481
3369,1607.88,143.613,23.2870696596473,7.83421978561492,0.502354110294337,3.71995019192813,2.49453058506766,0.99967826045712,62.8383334726118,290.243532678343,584.518705432796
3370,1683.041,142.728,24.0693531201911,7.78594223058669,0.496269348607235,3.84487442120133,2.52514244591137,0.99968871413129,66.5165425709668,305.696382552376,615.639053646125
3371,1704.296,140.625,8.22683200414025,7.67122166762131,0.494688716141864,3.87785312155578,2.53321750500699,0.999691361421702,68.6923393397148,321.97979344198,648.432060833541
3372,1651.126,138.18,7.6712216676213,7.53784469356026,0.49900810600112,3.78825054263103,2.51127175921011,0.999684061267644,67.1571203471396,322.535403778499,649.550999235476
3373,1518.17,136.038,7.53784469356026,7.42099664511906,0.510403711566226,3.55948641539358,2.45515360222414,0.999663756246095,63.1121985122317,322.66878075256,649.819605862101
3374,1290.542,133.522,7.42099664511903,7.28374655647383,0.532245437624752,3.14978717854321,2.3542985955417,0.999620020335838,55.8546681385248,322.785628801001,650.054925041747
3375,967.102,133.432,7.28374655647383,7.27883697460655,0.569978420765306,2.52019815348073,2.19823356051963,0.999525094853104,44.6946373365338,322.922878889647,650.331331697203
3376,587.811,132.19,7.27883697460658,7.21108474483812,0.630021465472693,1.68534931768225,1.9882668602771,0.99928984747451,29.8821213096856,322.927788471514,650.341219057692
3377,256.258,130.123,5.14670843009952,7.09832801461964,0.709798957390192,0.82308382616931,1.76348275217383,0.998545889208082,14.5842271813708,322.995540701282,650.477664632445
3378,68.858,125.036,1.51647388663066,6.82082753729918,0.782748442605672,0.243365251896305,1.59358499139694,0.995082062599489,4.2854350605605,321.043921116762,646.547316408957
3379,2.883,120.915,0.0622852646068333,6.59602323868751,0.766516572833442,0.011143299130098,1.45972501873166,0.892594189538266,0.174685603519439,315.739567466094,635.864928758713
3380,0,115.938,0,6.32452336142705,0,0,0,0,0,309.205829492013,622.706695646662
3381,0,106.157,0,5.79096091427324,0,0,0,0,0,302.881306130586,609.969797864351
3382,0,98.594,0,5.37839238469301,0,0,0,0,0,297.090345216313,598.307436448105
3383,0,94.155,0,5.13624089681695,0,0,0,0,0,291.71195283162,587.475942891643
3384,0,91.293,0,4.98011619343753,0,0,0,0,0,286.575711934803,577.132115926425
3385,0,91.425,0,4.98731691350953,0,0,0,0,0,281.595595741365,567.102707024766
3386,0,93.392,0,5.09461855276437,0,0,0,0,0,276.608278827856,557.058796661056
3387,6.769,98.419,0.153807697346624,5.36884597550664,0.805200601066987,0.0257586782706451,1.48447019072106,0.953535850647676,0.402374657483049,271.513660275091,546.798792540875
3388,97.111,113.006,2.11351110631427,6.16458009437307,0.768764732008476,0.338707181360777,1.62482934526879,0.996466401835718,5.47916227324295,266.298621996931,536.29627627461
3389,345.151,127.075,6.72732646601735,6.93205684204784,0.683945257944852,1.07549551562916,1.83076934959915,0.99888715940058,17.315126430075,262.247553008872,528.13786675324
3390,701.025,134.976,12.2364182765442,7.36306357908518,0.609132665001396,1.95525212961531,2.05665162434436,0.999387876859379,31.4831340153793,262.042822632842,527.725562185225
3391,1078.279,137.761,17.2246725620726,7.5149878624226,0.555448350728583,2.75183527813951,2.25582775146168,0.999565070233748,44.7025464182504,266.916177330301,537.539965119848
3392,1403.726,140.969,21.0572824429425,7.68998718053623,0.520591687067011,3.36387152794044,2.40705918188038,0.999644203096241,55.5691983088288,276.625862029951,557.09420730546
