cond_id,T_degC,T_K,invTK,SOC_store,SOC_pct,t_h,sqrt_t,Q_Ah,SOH_init,dSOH,EFC,SOCc,SOCc2,source_col
TP_40C_75SOC,40,313.15,0.00319335781574325,0.75,75,7026.7,83.8254138075083,2.80704420514774,0.936727723869844,0.0632722761301556,0,0.25,0.0625,"TP_40°C,75%SOC"
TP_40C_75SOC,40,313.15,0.00319335781574325,0.75,75,11575,107.58717395675,2.76309607460062,0.922061965411092,0.0779380345889085,0,0.25,0.0625,"TP_40°C,75%SOC"
TP_25C_50SOC,25,298.15,0.00335401643468053,0.5,50,13481,116.10770861575,2.88399656395725,0.963543191771088,0.0364568082289122,0,0,0,"TP_25°C,50%SOC"
TP_40C_25SOC,40,313.15,0.00319335781574325,0.25,25,15811,125.741798937346,2.80154470550731,0.93412448960738,0.0658755103926201,0,-0.25,0.0625,"TP_40°C,25%SOC"
TP_25C_100SOC,25,298.15,0.00335401643468053,1,100,14119,118.823398369176,2.7109830279297,0.905003299930316,0.0949967000696843,0,0.5,0.25,"TP_25°C,100%SOC"
TP_0C_50SOC,0,273.15,0.00366099212886692,0.5,50,1009.1,31.7663343809134,2.98942405264463,0.99542822423952,0.00457177576047985,0,0,0,"TP_0°C,50%SOC"
TP_0C_50SOC,0,273.15,0.00366099212886692,0.5,50,2579.2,50.7858247939324,2.98162262399036,0.99283047894307,0.00716952105692958,0,0,0,"TP_0°C,50%SOC"
TP_40C_88SOC,40,313.15,0.00319335781574325,0.875,87.5,8300.1,91.1048846110899,2.73756212836943,0.914595872838594,0.0854041271614058,0,0.375,0.140625,"TP_40°C,87.5%SOC"
TP_40C_25SOC,40,313.15,0.00319335781574325,0.25,25,3872.7,62.2310212032552,2.91818687239569,0.973016713742556,0.0269832862574438,0,-0.25,0.0625,"TP_40°C,25%SOC"
TP_40C_12SOC,40,313.15,0.00319335781574325,0.125,12.5,14119,118.823398369176,2.85396060159898,0.953213201531392,0.0467867984686084,0,-0.375,0.140625,"TP_40°C,12.5%SOC"
TP_25C_50SOC,25,298.15,0.00335401643468053,0.5,50,12844,113.331372532058,2.88676699536235,0.964468792845657,0.0355312071543429,0,0,0,"TP_25°C,50%SOC"
TP_0C_50SOC,0,273.15,0.00366099212886692,0.5,50,276.98,16.6427161244792,2.99791915984479,0.998256952892954,0.00174304710704631,0,0,0,"TP_0°C,50%SOC"
TP_0C_50SOC,0,273.15,0.00366099212886692,0.5,50,11575,107.58717395675,2.95346787385952,0.983455417916898,0.0165445820831015,0,0,0,"TP_0°C,50%SOC"
TP_25C_100SOC,25,298.15,0.00335401643468053,1,100,0,0,2.99555043405747,1,0,0,0.5,0.25,"TP_25°C,100%SOC"
TP_0C_50SOC,0,273.15,0.00366099212886692,0.5,50,19190,138.527975513973,2.93643606940798,0.97778411181839,0.0222158881816099,0,0,0,"TP_0°C,50%SOC"
TP_25C_100SOC,25,298.15,0.00335401643468053,1,100,9031.6,95.0347304936464,2.76979493787247,0.924636389486785,0.0753636105132153,0,0.5,0.25,"TP_25°C,100%SOC"
TP_40C_12SOC,40,313.15,0.00319335781574325,0.125,12.5,15811,125.741798937346,2.83811269792865,0.947920055232633,0.0520799447673669,0,-0.375,0.140625,"TP_40°C,12.5%SOC"
TP_25C_50SOC,25,298.15,0.00335401643468053,0.5,50,408.99,20.2235011805572,2.98078147099219,0.995879027189613,0.00412097281038692,0,0,0,"TP_25°C,50%SOC"
TP_40C_75SOC,40,313.15,0.00319335781574325,0.75,75,4483,66.9552089086428,2.84202763699416,0.948401907848336,0.0515980921516642,0,0.25,0.0625,"TP_40°C,75%SOC"
TP_40C_88SOC,40,313.15,0.00319335781574325,0.875,87.5,4483,66.9552089086428,2.7954192962979,0.933925453144056,0.0660745468559438,0,0.375,0.140625,"TP_40°C,87.5%SOC"
TP_40C_88SOC,40,313.15,0.00319335781574325,0.875,87.5,1009.1,31.7663343809134,2.88361983752251,0.96339249250371,0.0366075074962904,0,0.375,0.140625,"TP_40°C,87.5%SOC"
TP_40C_0SOC,40,313.15,0.00319335781574325,0,0,5118.6,71.5443918137543,2.96279576093274,0.98931339686548,0.0106866031345199,0,-0.5,0.25,"TP_40°C,0%SOC"
TP_40C_38SOC,40,313.15,0.00319335781574325,0.375,37.5,5753.1,75.8491924808696,2.86135126238592,0.956113795895636,0.0438862041043641,0,-0.125,0.015625,"TP_40°C,37.5%SOC"
TP_25C_50SOC,25,298.15,0.00335401643468053,0.5,50,7663.4,87.5408476084165,2.91445668426592,0.973719917329899,0.0262800826701011,0,0,0,"TP_25°C,50%SOC"
TP_25C_100SOC,25,298.15,0.00335401643468053,1,100,160.33,12.6621483169326,2.96357549568905,0.989325855440494,0.010674144559506,0,0.5,0.25,"TP_25°C,100%SOC"
TP_25C_0SOC,25,298.15,0.00335401643468053,0,0,3872.7,62.2310212032552,2.97884074853484,0.994283368559651,0.00571663144034873,0,-0.5,0.25,"TP_25°C,0%SOC"
TP_40C_100SOC,40,313.15,0.00319335781574325,1,100,14695,121.22293512368,2.66883439703043,0.891531987211335,0.108468012788665,0,0.5,0.25,"TP_40°C,100%SOC"
TP_40C_88SOC,40,313.15,0.00319335781574325,0.875,87.5,9031.6,95.0347304936464,2.72936820319926,0.911858353180018,0.0881416468199822,0,0.375,0.140625,"TP_40°C,87.5%SOC"
